,F1,F2,F3,F4,F5,F6,F7
ANXA2,0.629523888886876,-0.32233820607222013,-0.44254103450090504,0.4418180904153142,-0.6433551838396577,-0.3556974295853368,0.10107718267256936
ANXA4,0.12036341625669475,-0.19989072515386327,-0.6536899728145489,-0.8168335392917205,-0.6363160230158641,0.570240322459591,0.11008120466900569
ANXA5,0.6366048049736082,-0.4281458558997887,-0.6499858118312626,0.37928296266374545,-0.37263787727006714,-0.3571838465022764,0.0018403281367747111
ANXA6,0.35572805115537454,-0.25781960438970886,-1.1324070115504687,-0.13772005568775075,0.16158771212247403,-0.648583097251289,-0.07891382213374551
ANXA7,0.3193105259357362,-0.7853995523229249,-0.2836520692435112,-0.3940824035022293,-0.028952147296178267,-0.4173102089952353,-0.034746709154194144
AP1G1,0.36124968868385593,-0.4271838590501108,-0.3529281457157413,-0.05699210430123866,0.33555202554889574,-0.28136143175072026,-0.06681727501430708
AP1G2,0.0562045508677254,-0.3914121755289559,-0.17436024904848452,-0.07480450470540487,0.07732857187566483,0.4903053707350991,0.1337045299499235
AP3B1,0.23899570279067903,-0.7326071727275236,-0.2249651976756312,-0.2557705007524891,0.0014280172182980634,-0.22927821081520997,0.022618763862828066
AP3M1,0.5465904445529038,-0.32149502431661786,-0.015242242706543119,-0.38102786803305927,0.08468214434638884,-0.643948082132067,0.0433016956928994
AP3S2,0.2495738713967024,-0.19259880084894584,-0.3144692208991592,-0.22146546833052783,0.12027306861273104,0.5457023666252319,0.003132432628592259
AP5M1,0.12597048510579975,-0.5878096099829927,0.050636205296799304,-0.26503984607165043,0.12643077661030458,0.0803110300498737,-0.2213323581755912
APAF1,0.41521568431640854,-0.41665292173480045,-0.1969284616087652,0.0639041581232226,0.35004784860699506,-0.5118688105801373,0.06050723815530895
APBB2,0.15821005759135517,-0.8329909390850878,0.04278262004643803,0.25729890150938506,0.29514032821006336,0.2256057099252387,0.27080601003861776
APBB3,-0.0411369814838756,0.002672791282043316,0.02730923477174511,-0.009453874911240239,0.10553249978280074,0.07755920565595587,-0.022038626508358052
APC,0.15878850628059582,-0.909938040343909,-0.4589394831939837,-0.11960812993709367,0.221045812909793,-0.009844740129816443,-0.2966161533374388
