gene_id,gene_name,mean_promoter_ncpg,samples_with_data
ENSSSCG00000000541,FAR2,183.79545454545453,44
ENSSSCG00000000547,MRPS35,22.477272727272727,44
ENSSSCG00000000549,PPFIBP1,89.43181818181819,44
ENSSSCG00000000550,SMCO2,29.59090909090909,44
ENSSSCG00000000551,BMAL2,191.63636363636363,44
ENSSSCG00000000553,TM7SF3,44.0,43
ENSSSCG00000000554,FGFR1OP2,51.20454545454545,44
ENSSSCG00000000555,ITPR2,71.77272727272727,44
ENSSSCG00000000559,RASSF8,1.4772727272727273,25
ENSSSCG00000000563,ENSSSCG00000000563,21.75,41
ENSSSCG00000000567,SOX5,1.4318181818181819,25
ENSSSCG00000000570,C2CD5,44.93181818181818,44
ENSSSCG00000000571,ABCC9,23.113636363636363,40
ENSSSCG00000000573,KCNJ8,26.795454545454547,42
ENSSSCG00000000576,ENSSSCG00000000576,30.295454545454547,44
ENSSSCG00000000577,GYS2,18.181818181818183,39
ENSSSCG00000000579,GOLT1B,3.8181818181818183,28
ENSSSCG00000000580,RECQL,72.88636363636364,44
ENSSSCG00000000582,ENSSSCG00000000582,0.7954545454545454,22
ENSSSCG00000000583,PYROXD1,70.95454545454545,43
ENSSSCG00000000585,SLCO1C1,16.363636363636363,44
ENSSSCG00000000587,AEBP2,226.54545454545453,44
ENSSSCG00000000588,PLEKHA5,228.8409090909091,44
ENSSSCG00000000589,CAPZA3,11.295454545454545,44
ENSSSCG00000000591,PIK3C2G,17.931818181818183,42
ENSSSCG00000000598,SLC15A5,6.068181818181818,38
ENSSSCG00000000599,DERA,93.6590909090909,44
ENSSSCG00000000600,EPS8,85.27272727272727,44
ENSSSCG00000000601,PTPRO,107.31818181818181,44
ENSSSCG00000000602,RERG,29.295454545454547,43
ENSSSCG00000000605,ERP27,26.068181818181817,44
ENSSSCG00000000607,ART4,23.454545454545453,41
ENSSSCG00000000610,SMCO3,24.204545454545453,42
ENSSSCG00000000611,ENSSSCG00000000611,59.52272727272727,43
ENSSSCG00000000612,ATF7IP,6.113636363636363,43
ENSSSCG00000000614,GRIN2B,39.72727272727273,44
ENSSSCG00000000619,FAM234B,13.704545454545455,42
ENSSSCG00000000623,BCL2L14,48.18181818181818,44
ENSSSCG00000000625,LRP6,126.77272727272727,44
ENSSSCG00000000629,TP23,32.72727272727273,43
ENSSSCG00000000631,TAS2R9,2.590909090909091,36
ENSSSCG00000000633,YBX3,41.59090909090909,44
ENSSSCG00000000634,STYK1,22.181818181818183,44
ENSSSCG00000000636,ENSSSCG00000000636,8.227272727272727,38
ENSSSCG00000000638,ENSSSCG00000000638,13.863636363636363,41
ENSSSCG00000000640,ENSSSCG00000000640,8.295454545454545,32
ENSSSCG00000000642,KLRD1,24.84090909090909,40
ENSSSCG00000000645,GABARAPL1,103.61363636363636,44
ENSSSCG00000000647,OLR1,3.0454545454545454,40
ENSSSCG00000000648,CLEC7A,20.613636363636363,42
ENSSSCG00000000650,CLEC1B,44.22727272727273,44
ENSSSCG00000000651,CLEC12B,28.113636363636363,42
ENSSSCG00000000653,CD69,8.727272727272727,40
ENSSSCG00000000656,CLEC2B,4.318181818181818,39
ENSSSCG00000000657,ENSSSCG00000000657,27.045454545454547,43
ENSSSCG00000000659,ENSSSCG00000000659,2.2045454545454546,32
ENSSSCG00000000660,A2M,10.318181818181818,39
ENSSSCG00000000661,PHC1,149.36363636363637,44
ENSSSCG00000000663,KLRG1,24.977272727272727,44
ENSSSCG00000000664,A2ML1,56.59090909090909,44
ENSSSCG00000000665,RIMKLB,273.84090909090907,44
ENSSSCG00000000667,AICDA,24.90909090909091,41
ENSSSCG00000000668,APOBEC1,52.18181818181818,43
ENSSSCG00000000669,GDF3,46.04545454545455,41
ENSSSCG00000000672,CLSTN3,34.68181818181818,44
ENSSSCG00000000679,LRRC23,81.47727272727273,44
ENSSSCG00000000680,GPR162,119.61363636363636,44
ENSSSCG00000000681,P3H3,204.75,44
ENSSSCG00000000682,GNB3,56.79545454545455,44
ENSSSCG00000000683,CDCA3,124.11363636363636,44
ENSSSCG00000000684,USP5,10.977272727272727,41
ENSSSCG00000000685,TPI1,172.75,44
ENSSSCG00000000687,CD4,85.38636363636364,44
ENSSSCG00000000688,LAG3,136.9318181818182,44
ENSSSCG00000000690,MLF2,80.95454545454545,44
ENSSSCG00000000691,COPS7A,133.13636363636363,44
ENSSSCG00000000692,PIANP,79.1590909090909,44
ENSSSCG00000000693,NCAPD2,60.06818181818182,44
ENSSSCG00000000694,GAPDH,183.1818181818182,44
ENSSSCG00000000695,IFFO1,37.22727272727273,44
ENSSSCG00000000696,NOP2,105.68181818181819,44
ENSSSCG00000000697,CHD4,31.15909090909091,43
ENSSSCG00000000699,LPAR5,5.181818181818182,39
ENSSSCG00000000700,ACRBP,43.86363636363637,44
ENSSSCG00000000702,ZNF384,50.65909090909091,44
ENSSSCG00000000703,ENSSSCG00000000703,45.93181818181818,42
ENSSSCG00000000704,TAPBPL,65.8409090909091,44
ENSSSCG00000000706,LTBR,119.97727272727273,44
ENSSSCG00000000707,SCNN1A,30.704545454545453,44
ENSSSCG00000000708,TNFRSF1A,41.09090909090909,43
ENSSSCG00000000709,PLEKHG6,175.88636363636363,44
ENSSSCG00000000712,ANO2,85.04545454545455,44
ENSSSCG00000000716,KCNA1,355.59090909090907,44
ENSSSCG00000000718,GALNT8,62.56818181818182,44
ENSSSCG00000000719,NDUFA9,1.5454545454545454,28
ENSSSCG00000000720,AKAP3,5.0227272727272725,40
ENSSSCG00000000721,DYRK4,83.11363636363636,44
ENSSSCG00000000722,RAD51AP1,1.0681818181818181,33
ENSSSCG00000000723,FERRY3,66.04545454545455,44
ENSSSCG00000000728,PARP11,21.386363636363637,43
ENSSSCG00000000730,PRMT8,94.22727272727273,44
ENSSSCG00000000732,CRACR2A,50.84090909090909,44
ENSSSCG00000000734,TSPAN11,84.38636363636364,44
ENSSSCG00000000735,TSPAN9,168.47727272727272,44
ENSSSCG00000000736,TEAD4,309.1136363636364,44
ENSSSCG00000000737,TULP3,194.97727272727272,44
ENSSSCG00000000738,RHNO1,22.181818181818183,42
ENSSSCG00000000739,FOXM1,2.977272727272727,34
ENSSSCG00000000740,TEX52,76.38636363636364,44
ENSSSCG00000000741,NRIP2,23.15909090909091,40
ENSSSCG00000000742,ITFG2,154.04545454545453,44
ENSSSCG00000000743,FKBP4,257.90909090909093,44
ENSSSCG00000000744,ENSSSCG00000000744,24.795454545454547,43
ENSSSCG00000000745,DDX11,132.4090909090909,44
ENSSSCG00000000746,WASHC1,158.27272727272728,44
ENSSSCG00000000748,IQSEC3,40.09090909090909,44
ENSSSCG00000000749,SLC6A12,109.13636363636364,44
ENSSSCG00000000751,CCDC77,49.40909090909091,44
ENSSSCG00000000753,WNK1,218.75,44
ENSSSCG00000000754,RAD52,128.54545454545453,44
ENSSSCG00000000755,ERC1,132.1590909090909,44
ENSSSCG00000000757,ADIPOR2,62.97727272727273,43
ENSSSCG00000000759,WNT5B,92.52272727272727,44
ENSSSCG00000000760,LRTM2,53.45454545454545,41
ENSSSCG00000000764,HDHD5,188.4318181818182,44
ENSSSCG00000000765,IL17RA,90.36363636363636,44
ENSSSCG00000000766,CECR2,108.20454545454545,44
ENSSSCG00000000769,BID,157.20454545454547,44
ENSSSCG00000000770,MICAL3,166.3181818181818,44
ENSSSCG00000000777,ENSSSCG00000000777,2.6136363636363638,30
ENSSSCG00000000778,CPNE8,166.27272727272728,44
ENSSSCG00000000779,KIF21A,247.75,44
ENSSSCG00000000781,ABCD2,31.227272727272727,43
ENSSSCG00000000782,REDIC1,33.77272727272727,43
ENSSSCG00000000783,SLC2A13,220.25,44
ENSSSCG00000000784,LRRK2,105.95454545454545,44
ENSSSCG00000000789,CNTN1,20.136363636363637,40
ENSSSCG00000000791,PDZRN4,28.727272727272727,42
ENSSSCG00000000793,PPHLN1,194.36363636363637,44
ENSSSCG00000000795,ADAMTS20,209.04545454545453,44
ENSSSCG00000000798,TWF1,29.75,44
ENSSSCG00000000799,IRAK4,41.97727272727273,43
ENSSSCG00000000800,PUS7L,0.8181818181818182,30
ENSSSCG00000000801,TMEM117,51.88636363636363,44
ENSSSCG00000000802,NELL2,122.45454545454545,44
ENSSSCG00000000804,ANO6,22.204545454545453,42
ENSSSCG00000000806,SCAF11,13.068181818181818,40
ENSSSCG00000000807,SLC38A1,37.52272727272727,44
ENSSSCG00000000808,SLC38A2,301.3636363636364,44
ENSSSCG00000000810,AMIGO2,202.38636363636363,44
ENSSSCG00000000811,PCED1B,21.068181818181817,43
ENSSSCG00000000816,SENP1,51.81818181818182,44
ENSSSCG00000000820,H1-7,13.840909090909092,41
ENSSSCG00000000837,CHST11,264.1136363636364,44
ENSSSCG00000000838,SLC41A2,56.43181818181818,44
ENSSSCG00000000839,ALDH1L2,52.84090909090909,44
ENSSSCG00000000840,WASHC4,106.5,44
ENSSSCG00000000841,APPL2,40.97727272727273,44
ENSSSCG00000000842,KANSL2,91.5909090909091,44
ENSSSCG00000000843,TXNRD1,176.75,44
ENSSSCG00000000844,NFYB,267.47727272727275,44
ENSSSCG00000000846,HCFC2,5.613636363636363,31
ENSSSCG00000000847,TDG,146.6590909090909,44
ENSSSCG00000000848,GLT8D2,170.95454545454547,44
ENSSSCG00000000849,HSP90B1,114.20454545454545,44
ENSSSCG00000000853,NT5DC3,30.454545454545453,44
ENSSSCG00000000854,ENSSSCG00000000854,57.77272727272727,43
ENSSSCG00000000856,PAH,36.18181818181818,42
ENSSSCG00000000857,IGF1,31.113636363636363,43
ENSSSCG00000000858,PMCH,8.727272727272727,40
