gene,mean_abs_shap
CHPT1,0.0
CHODL,0.0
CHL1,0.0
CHID1,0.0
CHD8,0.0
CHD6,0.0
CHD1L,0.0
CHCHD4,0.0
CHCHD3,0.0
CHAF1B,0.0
CHAF1A,0.0
CGN,0.0
CFLAR,0.0
CFL2,0.0
CFAP97,0.0
CETN3,0.0
CLDN8,0.0
CLDN6,0.0
CLDN4,0.0
CLCN5,0.0
CLCC1,0.0
CKAP2L,0.0
CKAP2,0.0
CIZ1,0.0
CITED2,0.0
CIAPIN1,0.0
CIAO1,0.0
CHURC1,0.0
CHUK,0.0
CHTOP,0.0
CHSY1,0.0
CHST10,0.0
ANKRD28,0.0
ANKRD27,0.0
ANKRD17,0.0
ANKRD13C,0.0
CMTM8,0.0
CLU,0.0
CLPX,0.0
CLOCK,0.0
CLN6,0.0
CLK4,0.0
CLK3,0.0
CLK1,0.0
CLIP1,0.0
CLIC6,0.0
CLDND2,0.0
CLDND1,0.0
CNOT6L,0.0
CNOT4,0.0
CNOT2,0.0
CNOT11,0.0
CNNM2,0.0
CNDP2,0.0
ANXA7,0.0
ANXA6,0.0
ANXA5,0.0
ANXA4,0.0
ANXA11,0.0
ANO6,0.0
ANLN,0.0
ANKS4B,0.0
ANKRD49,0.0
ANKRD46,0.0
COPA,0.0
COMMD9,0.0
COMMD4,0.0
COMMD3,0.0
COMMD2,0.0
COMMD10,0.0
COMMD1,0.0
COL4A2,0.0
COG3,0.0
COA4,0.0
CNPY3,0.0
CNP,0.0
CNOT9,0.0
CNOT8,0.0
CNOT7,0.0
CRABP2,0.0
CPT1A,0.0
CPSF3,0.0
CPPED1,0.0
CPEB4,0.0
CPD,0.0
COX15,0.0
CORO1C,0.0
CORO1B,0.0
COQ9,0.0
COQ6,0.0
COQ5,0.0
COQ10B,0.0
COPS5,0.0
COPG2,0.0
COPG1,0.0
CSRNP1,0.0
CSPP1,0.0
CSNK2A1,0.0
CSNK1G3,0.0
CSE1L,0.0
CSDE1,0.0
CRYZ,0.0
CROT,0.0
CRKL,0.0
CREM,0.0
CRELD2,0.0
CREG1,0.0
CREBBP,0.0
CREB3,0.0
CRAT,0.0
CRADD,0.0
CUTC,0.0
CUL9,0.0
CUL4B,0.0
CUL3,0.0
CUL2,0.0
CUL1,0.0
CTTNBP2NL,0.0
CTSC,0.0
CTSB,0.0
CTR9,0.0
CTNND1,0.0
CTNNB1,0.0
CTH,0.0
CTBS,0.0
CTBP2,0.0
CSTF1,0.0
DCAF7,0.0
DCAF6,0.0
DCAF13,0.0
DCAF11,0.0
DCAF1,0.0
DBNL,0.0
DAB2,0.0
DAAM1,0.0
CYP51A1,0.0
CYP26A1,0.0
CYBRD1,0.0
CYB5A,0.0
CYB561,0.0
CXCL14,0.0
CWC22,0.0
CUX2,0.0
DDRGK1,0.0
DDOST,0.0
DDIAS,0.0
DDHD1,0.0
DCUN1D5,0.0
DCUN1D4,0.0
DCTN3,0.0
DCTN2,0.0
DCTN1,0.0
DCTD,0.0
DCPS,0.0
DCP2,0.0
DCP1A,0.0
DCLRE1A,0.0
DCBLD2,0.0
DCBLD1,0.0
DERA,0.0
DENND4C,0.0
DENND2C,0.0
DEGS2,0.0
DEDD,0.0
DDX6,0.0
DDX59,0.0
DDX56,0.0
DDX50,0.0
DDX49,0.0
DDX43,0.0
DDX3X,0.0
DDX28,0.0
DDX23,0.0
DDX20,0.0
DLG2,0.0
DLD,0.0
DLC1,0.0
DLAT,0.0
DIS3L,0.0
DIRAS3,0.0
DHX8,0.0
DHX57,0.0
DHX40,0.0
DHX36,0.0
DHX32,0.0
DHRS3,0.0
DGUOK,0.0
DGCR8,0.0
DEUP1,0.0
DET1,0.0
DNAJC3,0.0
DNAJC21,0.0
DNAJC13,0.0
DNAJC10,0.0
DNAJC1,0.0
DNAJB9,0.0
DNAJB4,0.0
DNAJB14,0.0
DNAJB1,0.0
DNAJA3,0.0
DNAH11,0.0
DMXL1,0.0
DMD,0.0
DLST,0.0
DLGAP5,0.0
DLG5,0.0
DPY19L4,0.0
DPPA5,0.0
DPF2,0.0
DPEP1,0.0
DPCD,0.0
DPAGT1,0.0
DOHH,0.0
DOCK7,0.0
DNTTIP2,0.0
DNPEP,0.0
DNMT3B,0.0
DNMT3A,0.0
DNMT1,0.0
DND1,0.0
DNAJC9,0.0
E2F5,0.0
DZIP3,0.0
DYRK3,0.0
DYRK1A,0.0
DYNC1LI1,0.0
DUSP14,0.0
DUSP12,0.0
DUSP1,0.0
DUS4L,0.0
DTWD1,0.0
DTL,0.0
DST,0.0
DSN1,0.0
DSG2,0.0
DR1,0.0
DPYSL2,0.0
EGLN3,0.0
EGFLAM,0.0
EFNA1,0.0
EFL1,0.0
EEF1G,0.0
EED,0.0
EDRF1,0.0
EDEM2,0.0
EDC4,0.0
EDC3,0.0
ECSIT,0.0
ECI2,0.0
ECHDC2,0.0
ECD,0.0
EBPL,0.0
E2F8,0.0
ELF1,0.0
EIPR1,0.0
EIF4G3,0.0
EIF4G2,0.0
EIF4G1,0.0
EIF4ENIF1,0.0
EIF4E,0.0
EIF3G,0.0
EIF3A,0.0
EIF2B5,0.0
EIF2B3,0.0
EIF2B2,0.0
EIF2AK2,0.0
EIF2AK1,0.0
EHBP1,0.0
EGR1,0.0
EPB41L2,0.0
