gene,mean_log2_FPKM_IVF,mean_log2_FPKM_PA,log2FC_PA_vs_IVF,rank_biserial_r,pvalue,n_IVF,n_PA,padj,significant
ENSSSCG00000008747,4.7376412384350415,3.8662370822591408,-0.8714041561759007,-0.26984126984126977,0.13775887453894567,21,21,0.3858781529159893,NS
ENSSSCG00000035080,2.34595861449611,1.479669951356348,-0.8662886631397619,-0.23809523809523814,0.19076800390493187,21,21,0.44742370252398683,NS
ENSSSCG00000032220,2.8823869233358006,1.289463697549632,-1.5929232257861685,-0.4625850340136055,0.010638847604409361,21,21,0.12111986001817435,NS
ENSSSCG00000003849,3.031027250939749,2.6030934194048205,-0.42793383153492837,-0.10657596371882083,0.5623164543585885,21,21,0.7833833809361512,NS
ENSSSCG00000011615,2.068838037734472,2.428212492941275,0.3593744552068032,0.12925170068027214,0.48119038992384244,21,21,0.7223387232262236,NS
ENSSSCG00000024596,4.480253138380492,4.998032985739623,0.5177798473591304,0.15646258503401356,0.39238776291674793,21,21,0.6539796048612466,NS
ENSSSCG00000004249,2.837469956328301,1.8225350982942419,-1.0149348580340591,-0.2970521541950113,0.10202324211434627,21,21,0.3332759242401978,NS
ENSSSCG00000036952,1.78409337230776,0.5204254269987055,-1.2636679453090545,-0.6054421768707483,0.0008067515742824422,21,21,0.04179614971550859,Down (PA<IVF)
ENSSSCG00000022358,2.4545245370755158,2.1011560502255997,-0.35336848684991606,-0.0793650793650793,0.6689077174430536,21,21,0.8447545916162275,NS
ENSSSCG00000014956,1.3167881204352614,0.8693227073244726,-0.4474654131107888,-0.15192743764172345,0.40223337258820047,21,21,0.664517472366019,NS
ENSSSCG00000035901,4.12746845955939,3.6965518730336155,-0.43091658652577447,-0.05668934240362811,0.7627520182258121,21,21,0.9015297803289233,NS
ENSSSCG00000037245,2.7385022194116857,2.423752747986149,-0.3147494714255368,-0.14739229024943312,0.4208290941795192,21,21,0.6751374148904354,NS
ENSSSCG00000010990,1.1725355394601518,0.5434428837837035,-0.6290926556764482,-0.2857142857142858,0.10914588712935923,21,21,0.3463185872837208,NS
ENSSSCG00000027840,1.0911860307959127,1.362965676158987,0.2717796453630743,0.17460317460317465,0.3347681362503476,21,21,0.6008056035381634,NS
ENSSSCG00000028327,2.783574582849035,3.9776111148657183,1.1940365320166832,0.41496598639455784,0.02206934007346684,21,21,0.1674730894955559,NS
ENSSSCG00000036311,1.894357455906971,0.6032166311566514,-1.2911408247503195,-0.5079365079365079,0.0049718664810028965,21,21,0.08463276441607909,NS
ENSSSCG00000033123,1.685169389390395,1.4816451630713812,-0.2035242263190138,-0.04081632653061229,0.8306168708924009,21,21,0.938943668250364,NS
ENSSSCG00000011794,1.8454443707730983,1.2077615663604564,-0.6376828044126419,-0.3015873015873016,0.09684484206276844,21,21,0.3231631520724199,NS
ENSSSCG00000016842,4.18508780726638,3.92495574207314,-0.26013206519324017,-0.061224489795918435,0.7436492622639466,21,21,0.8907689783709924,NS
ENSSSCG00000016658,3.172905895905037,2.9747837296710835,-0.1981221662339534,-0.1201814058956916,0.5130800796227113,21,21,0.7460214807570579,NS
ENSSSCG00000006504,1.3944571911095878,0.7310872765675724,-0.6633699145420153,-0.346938775510204,0.05554952250876693,21,21,0.2527717816851408,NS
ENSSSCG00000006342,2.120959493016698,1.2873061422140526,-0.8336533508026456,-0.3197278911564625,0.07825502308568134,21,21,0.29484995892048155,NS
ENSSSCG00000035676,0.8821598496186838,1.1259972637001145,0.24383741408143078,0.21541950113378683,0.2366985939873626,21,21,0.49934320517832165,NS
ENSSSCG00000013661,0.857652761406951,0.6290568070412339,-0.2285959543657171,0.061224489795918324,0.7333500690279191,21,21,0.8882254648150515,NS
ENSSSCG00000004049,2.13591529972474,0.9641348687816886,-1.1717804309430513,-0.4285714285714286,0.018028956728243326,21,21,0.14934464330577116,NS
ENSSSCG00000000496,3.5077541752147026,2.2388457037437655,-1.268908471470937,-0.3605442176870748,0.046888776900571166,21,21,0.2350491979746632,NS
ENSSSCG00000040185,2.5985217895797037,2.877500008342806,0.27897821876310225,0.2698412698412699,0.13769507736413775,21,21,0.3858781529159893,NS
ENSSSCG00000000405,0.6271360654136731,0.28624111944469344,-0.3408949459689796,-0.383219954648526,0.02655426750417316,21,21,0.18455372360206054,NS
ENSSSCG00000004970,2.319146881657467,2.2156523237857852,-0.10349455787168171,0.04081632653061229,0.8306777146663934,21,21,0.938943668250364,NS
ENSSSCG00000033687,0.5760771060593166,0.136985815988448,-0.4390912900708686,-0.13378684807256236,0.4115759025420447,21,21,0.6709626167866983,NS
ENSSSCG00000000738,2.101647930120011,1.665602329292008,-0.43604560082800314,-0.17460317460317465,0.33911360013116165,21,21,0.6008056035381634,NS
ENSSSCG00000016077,1.982653943360162,1.7715300992654135,-0.2111238440947485,-0.12471655328798192,0.4970079892453181,21,21,0.7336937392345346,NS
ENSSSCG00000009180,2.8125817415276324,1.2281841159338647,-1.5843976255937677,-0.3378684807256236,0.06139475282554807,21,21,0.2648855373479621,NS
ENSSSCG00000028867,3.2223295813166155,3.2955357888058425,0.07320620748922702,0.12925170068027214,0.48120815818423346,21,21,0.7223387232262236,NS
ENSSSCG00000018084,4.833508160821281,3.775995391583039,-1.057512769238242,-0.43764172335600904,0.015737324159875152,21,21,0.14112162579966475,NS
ENSSSCG00000023296,4.071052158384203,4.607224720741223,0.5361725623570193,0.15192743764172334,0.4064599583160081,21,21,0.664517472366019,NS
ENSSSCG00000030295,1.8590176384179284,1.3055535521179362,-0.5534640862999922,-0.1541950113378685,0.3991954845862823,21,21,0.661707359039476,NS
ENSSSCG00000032092,5.333306623080726,4.923428925751022,-0.409877697329704,-0.19274376417233552,0.29072107953069615,21,21,0.5572357098576629,NS
ENSSSCG00000006508,1.2956936301898858,1.0965332705490856,-0.19916035964080026,-0.23809523809523814,0.1908399057704352,21,21,0.44742370252398683,NS
ENSSSCG00000037566,0.9473150377479926,0.5352580003468304,-0.4120570374011623,-0.2743764172335601,0.12405785517852705,21,21,0.3688590878463198,NS
ENSSSCG00000005382,0.8915850410212965,1.020257989757522,0.12867294873622537,-0.054421768707483054,0.7708642977304448,21,21,0.9077127092354017,NS
ENSSSCG00000036529,2.644933169895094,1.6623570163686434,-0.9825761535264506,-0.3696145124716552,0.0415884552820841,21,21,0.2244664069512958,NS
ENSSSCG00000015730,3.2756680878989464,3.33807871722897,0.062410629330023504,0.024943310657596363,0.89990710207531,21,21,0.965040287671819,NS
ENSSSCG00000038947,2.9618697764022057,2.3132278364433905,-0.6486419399588153,-0.24716553287981857,0.17433363250882716,21,21,0.42834123173730454,NS
ENSSSCG00000036335,1.9780476147707189,1.6521274286368932,-0.3259201861338257,-0.07709750566893425,0.6207963002986803,21,21,0.8222590657740271,NS
ENSSSCG00000007672,1.0307240305419656,1.272353870067054,0.24162983952508843,-0.10884353741496589,0.553059282687351,21,21,0.7790527062084658,NS
ENSSSCG00000031791,3.8339037984679742,2.598041795823692,-1.2358620026442821,-0.3560090702947847,0.04974528689592373,21,21,0.24014966087687317,NS
ENSSSCG00000007088,3.00279423357078,1.8196918935286288,-1.183102340042151,-0.34013605442176864,0.06090581570444606,21,21,0.2634387741062421,NS
ENSSSCG00000036885,2.2348823173768957,1.6323753639352883,-0.6025069534416074,-0.17006802721088432,0.3519764902680531,21,21,0.6139228892038759,NS
ENSSSCG00000015857,1.0834040191768501,0.2629754058400594,-0.8204286133367907,-0.528344671201814,0.002945264963624669,21,21,0.0710630867654928,NS
ENSSSCG00000025928,1.3436758266742896,0.5361143779427691,-0.8075614487315206,-0.31065759637188206,0.06747818099498067,21,21,0.2764160813990964,NS
ENSSSCG00000014288,4.171258098862789,3.317778788118331,-0.8534793107444578,-0.2970521541950113,0.10202324211434627,21,21,0.3332759242401978,NS
ENSSSCG00000028802,1.3671211460516262,1.3857406366833127,0.018619490631686553,0.04761904761904767,0.8007180503837183,21,21,0.9213153463710844,NS
ENSSSCG00000017275,2.046207450693262,0.6055971958415147,-1.4406102548517474,-0.45578231292517013,0.011323258642609293,21,21,0.1238268307613523,NS
ENSSSCG00000000500,0.6042032884477578,0.9243201294054655,0.32011684095770765,0.21315192743764177,0.23329233601748067,21,21,0.4991844744478844,NS
ENSSSCG00000022155,5.684547216645535,5.667309695541658,-0.01723752110387622,0.17006802721088432,0.3519764902680531,21,21,0.6139228892038759,NS
ENSSSCG00000031938,1.641586182345198,2.2554476897570592,0.6138615074118612,0.2517006802721088,0.16588990327147735,21,21,0.41913082991704775,NS
ENSSSCG00000022222,0.7821103575411201,1.538037880342291,0.7559275228011708,0.26077097505668934,0.1455300578578195,21,21,0.3955373204851988,NS
ENSSSCG00000011494,1.42287907099228,0.6459233953548471,-0.776955675637433,-0.510204081632653,0.004470556264808322,21,21,0.08099394182188116,NS
ENSSSCG00000002847,0.830172711264759,0.8834362272918644,0.05326351602710544,-0.04761904761904767,0.8009405048187478,21,21,0.9213153463710844,NS
ENSSSCG00000038682,2.1201997533814554,1.8811629058299737,-0.2390368475514817,-0.006802721088435382,0.9799307399921785,21,21,0.9954575561004508,NS
ENSSSCG00000009414,3.0962375129735644,2.5381787486795724,-0.558058764293992,-0.15646258503401356,0.39238776291674793,21,21,0.6539796048612466,NS
ENSSSCG00000037185,0.7133820186308084,0.24165126039300122,-0.4717307582378072,-0.23809523809523814,0.16973594911273238,21,21,0.4260477903085782,NS
ENSSSCG00000014901,2.5489301433246916,1.5087506389180239,-1.0401795044066677,-0.4285714285714286,0.018047625262461266,21,21,0.14934464330577116,NS
ENSSSCG00000035762,0.729154290221914,0.34662088139420777,-0.38253340882770626,-0.16553287981859421,0.33303609101362897,21,21,0.6002699906341289,NS
ENSSSCG00000035355,3.158738961436311,3.484324025429273,0.32558506399296183,0.09297052154195007,0.6148835592723955,21,21,0.8157225327032747,NS
ENSSSCG00000011846,2.373982623504121,1.2223520589680403,-1.1516305645360807,-0.3696145124716552,0.0415884552820841,21,21,0.2244664069512958,NS
ENSSSCG00000015252,0.4107669842046076,0.4225004010493854,0.0117334168447778,-0.11791383219954654,0.47698848925447646,21,21,0.7223387232262236,NS
ENSSSCG00000003983,0.8292276628565393,0.41676603380714844,-0.4124616290493908,-0.3605442176870748,0.03364852562795833,21,21,0.2067186606092017,NS
ENSSSCG00000004691,4.083352704578775,4.700090429581526,0.6167377250027508,0.17006802721088432,0.3519764902680531,21,21,0.6139228892038759,NS
ENSSSCG00000016793,1.5369934459814527,0.46883368198702063,-1.068159763994432,-0.27210884353741505,0.11894141355259928,21,21,0.3594440955818639,NS
ENSSSCG00000017067,2.1395204855811962,2.0365999901121805,-0.10292049546901572,0.04308390022675734,0.8208819016622845,21,21,0.9318998211511518,NS
ENSSSCG00000006101,2.163548161621454,1.7488488843533967,-0.41469927726805733,-0.04761904761904767,0.8013753091229132,21,21,0.9213153463710844,NS
ENSSSCG00000003673,4.334766209567622,3.1142345331638457,-1.2205316764037764,-0.48752834467120176,0.007109649063322586,21,21,0.09940098455645346,NS
ENSSSCG00000035746,3.9012117249683174,3.250171488604811,-0.6510402363635062,-0.21541950113378694,0.2370788366276667,21,21,0.49934320517832165,NS
ENSSSCG00000013177,0.9122421363493713,0.7566949378514852,-0.15554719849788612,-0.05215419501133778,0.7770132139738273,21,21,0.9109394814543041,NS
ENSSSCG00000004304,0.5657027915227183,0.3410280607860763,-0.22467473073664201,-0.031746031746031855,0.8647456655967225,21,21,0.9534161468970616,NS
ENSSSCG00000016714,2.2283105669253205,2.02908362850714,-0.1992269384181804,0.0113378684807256,0.9597829017798901,21,21,0.9869209896448123,NS
ENSSSCG00000037384,0.9455540147617179,0.6787722677139983,-0.2667817470477195,-0.2290249433106577,0.2031529914133796,21,21,0.46438837757273715,NS
ENSSSCG00000038082,0.8162260765315672,0.7435932679441755,-0.07263280858739174,0.13832199546485258,0.44636434350424403,21,21,0.6984759079638868,NS
ENSSSCG00000029539,1.3011778475071558,0.9464722160708865,-0.3547056314362693,-0.217687074829932,0.23146418477522368,21,21,0.4967903383554941,NS
ENSSSCG00000017205,2.570995036938142,0.98456689178594,-1.5864281451522018,-0.46485260770975056,0.01011926457871566,21,21,0.11890408570106216,NS
ENSSSCG00000016991,1.6067180465467852,0.7505343334050912,-0.856183713141694,-0.4807256235827664,0.007867542932356055,21,21,0.10708600102373518,NS
ENSSSCG00000026034,4.072056612863152,2.728015038114798,-1.344041574748354,-0.4240362811791383,0.01931040712292347,21,21,0.15552648422397167,NS
ENSSSCG00000008180,6.710930368598291,6.0058746390841335,-0.7050557295141573,-0.39682539682539675,0.028629607311712907,21,21,0.18957442679377465,NS
ENSSSCG00000010243,3.1320906513268065,2.625770018986777,-0.5063206323400293,-0.18367346938775508,0.3143051330541584,21,21,0.5805420605146814,NS
ENSSSCG00000003757,4.804467624916111,5.494124095138814,0.6896564702227037,0.26530612244897955,0.14455604430349378,21,21,0.3939827031871146,NS
ENSSSCG00000010143,0.9140157540934158,0.37667963525427833,-0.5373361188391375,-0.4285714285714286,0.013062641829514913,21,21,0.13177900433892986,NS
ENSSSCG00000009828,5.110315017837918,3.118059424567148,-1.99225559327077,-0.6417233560090703,0.0003897046936740549,21,21,0.03145146116004725,Down (PA<IVF)
ENSSSCG00000011510,1.0887543697189082,0.30736254294922405,-0.7813918267696841,-0.45351473922902485,0.010025688222892126,21,21,0.11846949466054973,NS
ENSSSCG00000026829,5.15195414385682,3.835490839486783,-1.316463304370037,-0.32879818594104315,0.07010784129484465,21,21,0.27842598868122526,NS
ENSSSCG00000002805,0.9967990046913924,0.266801930513838,-0.7299970741775543,-0.24263038548752824,0.14969092977595583,21,21,0.401864822689913,NS
ENSSSCG00000024125,4.848650980202397,4.147347514153466,-0.7013034660489303,-0.3242630385487528,0.07408994000050295,21,21,0.287638363555999,NS
ENSSSCG00000031636,2.825656768957811,1.809133003233525,-1.016523765724286,-0.346938775510204,0.05589720011900272,21,21,0.2527717816851408,NS
ENSSSCG00000038251,2.616042545769708,1.6915190184505866,-0.9245235273191212,-0.383219954648526,0.03459373504072355,21,21,0.2067186606092017,NS
ENSSSCG00000037655,4.929753031454195,4.456931642208402,-0.47282138924579264,-0.038548752834467015,0.8405062858111236,21,21,0.9396794525202588,NS
ENSSSCG00000004750,1.017956581356221,0.43198455549300874,-0.5859720258632123,-0.2970521541950113,0.09254500134915088,21,21,0.31616469584421064,NS
ENSSSCG00000016960,2.527992256857727,1.7375454332641156,-0.7904468235936113,-0.20634920634920628,0.25763094153482324,21,21,0.523503631199315,NS
ENSSSCG00000007494,2.498427984163251,1.9693031834995098,-0.529124800663741,-0.26530612244897966,0.14455604430349378,21,21,0.3939827031871146,NS
ENSSSCG00000034966,0.4817599964620423,0.4030391313755889,-0.07872086508645343,0.3242630385487528,0.056243543295972406,21,21,0.2536691038858453,NS
ENSSSCG00000016078,3.5086230010022583,3.896881181835579,0.38825818083332075,0.20181405895691606,0.2683576760316526,21,21,0.5349996098742043,NS
ENSSSCG00000010158,0.9372849362456663,1.4989802941118788,0.5616953578662125,0.13378684807256236,0.46568579971233737,21,21,0.7103857207086134,NS
ENSSSCG00000004558,2.340663778385438,2.3763900800324342,0.035726301646996195,0.049886621315192725,0.791667439309527,21,21,0.9193218203428043,NS
ENSSSCG00000031429,6.455716659964493,7.995315267226937,1.5395986072624446,0.5963718820861679,0.000982809888455429,21,21,0.04417827813527798,Up (PA>IVF)
ENSSSCG00000024696,5.553043617132185,4.578025665024237,-0.9750179521079483,-0.35147392290249435,0.05274632203096375,21,21,0.24682112491978944,NS
ENSSSCG00000020737,1.4639133097658388,0.33740652771527924,-1.1265067820505594,-0.3877551020408163,0.03096240743572051,21,21,0.19907230616532534,NS
ENSSSCG00000004247,2.668298504823208,1.8297038164406334,-0.8385946883825748,-0.33333333333333326,0.06625911257207642,21,21,0.2723588264951059,NS
ENSSSCG00000008451,4.896121400621526,4.679137070753026,-0.2169843298684997,0.03401360544217691,0.8602230946114309,21,21,0.9490399532059208,NS
ENSSSCG00000028228,4.407785077270632,3.9401323072771284,-0.4676527699935038,-0.35147392290249435,0.05274632203096375,21,21,0.24682112491978944,NS
ENSSSCG00000011822,3.358561361806577,2.6474417703042223,-0.7111195915023547,-0.24716553287981857,0.17433363250882716,21,21,0.42834123173730454,NS
ENSSSCG00000000842,2.168828047330275,2.8235182490238735,0.6546902016935987,0.13832199546485258,0.4504456875848739,21,21,0.6984759079638868,NS
ENSSSCG00000035997,1.6026523186060229,1.047346245967841,-0.5553060726381818,-0.256235827664399,0.15749690551112283,21,21,0.4089176259717459,NS
ENSSSCG00000005601,1.598274096578977,1.2802093069741034,-0.3180647896048736,0.015873015873015928,0.9397576530819801,21,21,0.9783494422867809,NS
ENSSSCG00000007947,0.30362701492641986,1.0596976588913785,0.7560706439649586,0.35147392290249435,0.03635075502504552,21,21,0.21234539296334817,NS
ENSSSCG00000037558,1.6169591688284046,0.8085131491917463,-0.8084460196366583,-0.4467120181405895,0.01361504730764377,21,21,0.1343665870929123,NS
ENSSSCG00000034290,3.7434123158799872,3.2701240875355686,-0.47328822834441864,-0.03401360544217691,0.8602230946114309,21,21,0.9490399532059208,NS
ENSSSCG00000006775,2.762350179388223,1.9129056649222147,-0.8494445144660083,-0.24489795918367352,0.17833908134757448,21,21,0.4352189632210735,NS
ENSSSCG00000021250,2.083130256156759,1.284992810391254,-0.798137445765505,-0.346938775510204,0.05569848726267219,21,21,0.2527717816851408,NS
ENSSSCG00000004177,1.5670564066031039,0.6271454938463784,-0.9399109127567254,-0.3015873015873016,0.08578753439929127,21,21,0.3091496418228523,NS
ENSSSCG00000033966,1.9500102457508728,0.9643959288523112,-0.9856143168985616,-0.31065759637188206,0.0784486109991261,21,21,0.2952043178573807,NS
ENSSSCG00000026433,5.450973278137553,4.787322888236943,-0.6636503899006101,-0.3197278911564625,0.07825502308568134,21,21,0.29484995892048155,NS
ENSSSCG00000030610,3.2424605727581453,2.1513298083505865,-1.0911307644075587,-0.3786848072562359,0.03680447117105262,21,21,0.21234539296334817,NS
ENSSSCG00000023112,4.398917178052822,3.6384261972714946,-0.7604909807813276,-0.31065759637188206,0.08715676491040764,21,21,0.3091496418228523,NS
ENSSSCG00000000406,2.56636172351648,2.3273537210671966,-0.23900800244928355,-0.11564625850340127,0.5294187787914176,21,21,0.7578908227272798,NS
ENSSSCG00000014416,1.9572928856752436,1.9821242162381711,0.024831330562927523,0.027210884353741527,0.8899142915022451,21,21,0.965040287671819,NS
ENSSSCG00000003488,0.6579203711097252,0.47359343407838733,-0.1843269370313379,-0.04081632653061229,0.830447515680318,21,21,0.938943668250364,NS
ENSSSCG00000023187,0.9162591678664828,0.47960881137575256,-0.4366503564907302,-0.08163265306122458,0.6537402117552633,21,21,0.836916362254463,NS
ENSSSCG00000032768,1.3926542186313082,1.2478530394036373,-0.14480117922767088,0.02947845804988658,0.8799308364704173,21,21,0.9581000128681301,NS
ENSSSCG00000010518,2.745232711591003,2.3920298244819587,-0.35320288710904446,-0.08843537414965996,0.6326655579954358,21,21,0.8251293316812793,NS
ENSSSCG00000033278,1.9813771465014287,1.192206331483972,-0.7891708150174568,-0.28798185941043086,0.11295076462440864,21,21,0.3499967010457579,NS
ENSSSCG00000002410,1.2193112280563767,1.0736331648118314,-0.14567806324454535,-0.13378684807256236,0.4626789331490305,21,21,0.7103857207086134,NS
ENSSSCG00000000793,5.31117119971499,5.908395193457126,0.5972239937421362,0.26530612244897955,0.14455604430349378,21,21,0.3939827031871146,NS
ENSSSCG00000006892,4.70631013006987,3.1425723627533766,-1.5637377673164932,-0.510204081632653,0.004840772120689793,21,21,0.08343642398977885,NS
ENSSSCG00000038776,0.8758116605573475,0.07147681820032789,-0.8043348423570196,-0.5691609977324263,0.0009647572285309712,21,21,0.04417827813527798,NS
ENSSSCG00000001860,3.376223773323696,2.2291432471527295,-1.1470805261709667,-0.24263038548752824,0.17852859511721586,21,21,0.4352189632210735,NS
ENSSSCG00000031741,0.9549122999499036,0.5966635338907486,-0.358248766059155,-0.33333333333333326,0.06231254080405214,21,21,0.26545427392262594,NS
ENSSSCG00000011845,3.1616141493562773,1.3259297927644849,-1.8356843565917924,-0.5827664399092971,0.0012821978057311351,21,21,0.04872966243563211,Down (PA<IVF)
ENSSSCG00000017328,1.4643577518514612,1.066421293043328,-0.39793645880813333,-0.06802721088435382,0.7151814965285204,21,21,0.8770020818198087,NS
ENSSSCG00000029502,0.7350947731960095,0.05185806577165077,-0.6832367074243587,-0.2925170068027212,0.060314483644239233,21,21,0.26179224221173464,NS
ENSSSCG00000006620,1.3512502581448147,0.9631057093019066,-0.38814454884290805,-0.0748299319727892,0.6858722202247278,21,21,0.8572780981928975,NS
ENSSSCG00000000058,3.437570400647581,1.7014049006503482,-1.7361654999972327,-0.43764172335600904,0.015737324159875152,21,21,0.14112162579966475,NS
ENSSSCG00000000840,4.192947947492546,2.619464269642482,-1.573483677850064,-0.4058956916099774,0.025164969815949612,21,21,0.1780582660160118,NS
ENSSSCG00000033464,2.5479284675116234,0.4683545409294435,-2.0795739265821798,-0.6235827664399094,0.00041982894110284644,21,21,0.03258418874930428,Down (PA<IVF)
ENSSSCG00000000908,4.884118024862597,4.690176384069502,-0.19394164079309562,-0.038548752834467015,0.8404807789798207,21,21,0.9396794525202588,NS
ENSSSCG00000014569,1.2668091554069953,0.9947603180578399,-0.2720488373491554,-0.06349206349206349,0.7268160588006493,21,21,0.8832521104291327,NS
ENSSSCG00000027139,3.075807462193146,2.227010063095249,-0.8487973990978972,-0.17913832199546476,0.32655631642696226,21,21,0.5929529726545689,NS
ENSSSCG00000014244,3.135861229340717,2.8919958350482413,-0.24386539429247556,-0.16553287981859421,0.36514408957445854,21,21,0.6272800312138134,NS
ENSSSCG00000013052,1.5291421312826698,1.7855937531412356,0.25645162185856574,0.12244897959183676,0.5049930879064096,21,21,0.7421278027073629,NS
ENSSSCG00000033356,3.751603315727842,1.9449065444289686,-1.8066967712988733,-0.5736961451247165,0.0015263670152105711,21,21,0.0505977886445505,NS
ENSSSCG00000018033,7.413131953223804,7.922110934489443,0.5089789812656393,0.2562358276643991,0.15891754968522953,21,21,0.4089176259717459,NS
ENSSSCG00000013001,1.446073070218149,1.6518089800162175,0.20573590979806844,0.14739229024943312,0.42081027258781667,21,21,0.6751374148904354,NS
ENSSSCG00000004582,2.7757076951383355,3.4582080382850116,0.6825003431466761,0.21541950113378683,0.2370788366276667,21,21,0.49934320517832165,NS
ENSSSCG00000022714,1.4458872801432483,1.4018795327592786,-0.04400774738396973,-0.05215419501133778,0.7809598763099395,21,21,0.9109394814543041,NS
