gene,IVF_vs_PA,IVF_vs_vivo,PA_vs_vivo,total_div,vivo_slope
ENSSSCG00000000530,0.4266215511632254,1.3934246911186954,1.1143665739374236,2.9344128162193446,-0.026449190860594822
ENSSSCG00000000534,0.8239549934257212,0.8051325667437783,1.3663607474740875,2.9954483076435867,-0.3314033003965037
ENSSSCG00000000536,0.35033398938182386,0.36467439931333,0.5663056960815727,1.2813140847767266,-0.06304233605134345
ENSSSCG00000000540,0.4044724146143275,0.9524669690127279,1.0833229921510037,2.440262375778059,-0.3341121680469822
ENSSSCG00000000541,0.2657630691430659,1.3573532956617327,1.3583474231691224,2.981463787973921,-0.07336569531846897
ENSSSCG00000000545,0.6094767729899184,0.7853312162649704,1.205815416956958,2.600623406211847,-0.25531337646552865
ENSSSCG00000000546,0.2733864253401563,1.2624155781547657,1.0631862196048245,2.5989882230997465,-0.0016674711590032444
ENSSSCG00000000547,0.8873514414110086,1.1531200617329558,1.1543853306369012,3.1948568337808654,-0.010446549492567814
ENSSSCG00000000549,0.1842038011109252,0.2703035667290032,0.3594286192519345,0.8139359870918629,-0.02583084999851305
ENSSSCG00000000551,0.7748959325708215,0.9660963305727481,0.5116373490951137,2.252629612238683,-0.14636122148109254
ENSSSCG00000000553,0.6062134719888684,0.8828631878280763,0.5104543000555686,1.9995309598725133,-0.06580048989789164
ENSSSCG00000000554,1.1445347207114602,1.2744036106518306,1.3167579184473754,3.7356962498106663,-0.2876018740616653
ENSSSCG00000000559,0.16235693178355148,0.8613893954481217,0.7531497483219243,1.7768960755535974,-0.31569530747217583
ENSSSCG00000000563,0.36355950609540316,0.7202115037865525,0.5821985433692114,1.6659695532511671,-0.448200258213157
ENSSSCG00000000570,0.23805296233489634,0.5002622292525126,0.5122350587572831,1.2505502503446921,-0.22585657960205593
ENSSSCG00000000576,0.28449106305094385,0.8217234807255662,0.8043688831223533,1.9105834268988633,0.14405132359190576
ENSSSCG00000000579,1.1025327488160532,1.7824365748385562,2.380235870711261,5.265205194365871,-0.15677396390170342
ENSSSCG00000000580,0.33965818655518,0.23272025151295206,0.5165049395071604,1.0888833775752924,-0.030283344823263593
ENSSSCG00000000583,0.47593589190011026,0.5961237357390594,0.6001391492564722,1.672198776895642,-0.012472570255201376
ENSSSCG00000000587,1.1357925373664015,0.9452476453414576,2.054158332227093,4.135198514934952,-0.030095776307107216
ENSSSCG00000000588,0.5339852569475535,0.5362036092287592,0.8668744859887461,1.9370633521650589,-0.04615479796852744
ENSSSCG00000000591,0.1204031577821411,0.45120972658636194,0.476183140411088,1.047796024779591,-0.1408677860908205
ENSSSCG00000000599,0.1175845267813149,0.39677207943323545,0.31837900794339985,0.8327356141579503,0.10021289638021233
ENSSSCG00000000600,0.16014969743596333,0.521089717719336,0.6264239591344823,1.3076633742897816,-0.12553103568962037
ENSSSCG00000000611,0.7847878067381328,1.8524636141831345,2.256879327494509,4.894130748415776,-0.017077477573080976
ENSSSCG00000000612,0.5595615004952451,0.3003348732938702,0.31498883217600127,1.1748852059651167,-0.1640996629126239
ENSSSCG00000000614,0.22293728007640468,0.5784462250278508,0.7484825761057775,1.549866081210033,-0.027665347166503453
ENSSSCG00000000623,0.727979796797954,0.9171085162195715,1.041392302317383,2.686480615334909,-0.18925001965838611
ENSSSCG00000000625,0.1971345053112045,0.4444599630164037,0.4936198633100793,1.1352143316376875,-0.218716967569286
ENSSSCG00000000633,0.21052458480985503,1.3790370548466808,1.2794074714620138,2.86896911111855,-0.18123177872901108
ENSSSCG00000000635,0.10302620010575621,0.8929833654149929,0.8830640860750718,1.8790736515958208,-0.06629759826715341
ENSSSCG00000000661,0.5552211383297105,0.8729520980312295,0.7896890841856841,2.217862320546624,-0.08942190037414297
ENSSSCG00000000664,0.09995868762878587,0.4925839310754505,0.5885612086800144,1.1811038273842507,-0.02323580676473949
ENSSSCG00000000665,0.34255905660916136,0.8692471115331403,1.0370263226297993,2.248832490772101,0.05596432811426068
ENSSSCG00000000667,0.5295306090957097,0.4951998918019363,0.8601882792532464,1.8849187801508922,-0.00535307873643922
ENSSSCG00000000669,0.834023167387855,1.1486761687104903,1.1390505856544746,3.12174992175282,-0.014426266501738802
ENSSSCG00000000683,0.5733448692483879,0.7422384663252363,1.0262670613731582,2.341850396946782,-0.05696083957898749
ENSSSCG00000000684,0.5909722588876758,0.5189964599550445,0.6484451854818278,1.7584139043245481,0.016669516143039933
ENSSSCG00000000685,0.07053942802860076,1.1925339765872702,1.1360271891867018,2.3991005938025727,0.31260318329916287
ENSSSCG00000000690,0.22945598026050312,0.834916181276828,0.768737914745854,1.8331100762831851,0.0678270796966448
ENSSSCG00000000691,0.19412971098550183,1.5266209981040308,1.3449092482929017,3.0656599573824344,0.03984524667701675
ENSSSCG00000000693,0.6104857106873615,0.4133112960549414,0.3748687900077303,1.398665796750033,0.025557744442905775
ENSSSCG00000000694,0.4301126217823626,1.210405617964298,1.2036850160704313,2.8442032558170918,0.2699324081632824
ENSSSCG00000000696,0.4730783642263041,0.4806762830218495,0.667027466614161,1.6207821138623146,0.08421534162377653
ENSSSCG00000000697,0.46473068695008257,0.866698951361415,0.9124725534249951,2.2439021917364927,-0.1164360271694155
ENSSSCG00000000700,0.8874432880740409,0.5968709170702171,0.5779679370682117,2.0622821422124695,-0.09813140440291648
ENSSSCG00000000721,0.0886325419451201,1.7754956358386453,1.7027224041961386,3.566850581979904,-0.24412181030842223
ENSSSCG00000000722,0.5991628467178206,0.8238558017332324,1.382704795082141,2.8057234435331937,-0.15895613678151105
ENSSSCG00000000723,0.552732305803187,0.6695710134878344,0.6689565498060035,1.8912598690970248,-0.1257279164600124
ENSSSCG00000000728,0.2171149908482376,0.6181779524757115,0.4978198929809792,1.3331128363049283,-0.04795953861518428
ENSSSCG00000000736,0.17723835267666377,0.7702530547606189,0.85997608142615,1.8074674888634328,0.17102350412101452
ENSSSCG00000000737,0.5865673002819449,0.6308254990878572,0.4896676298812888,1.707060429251091,-0.18171818274975463
ENSSSCG00000000738,0.4839871051250498,0.510295085761393,0.7803387466804065,1.7746209375668491,-0.14282960349856763
ENSSSCG00000000739,0.27485959668786547,0.732899844511818,0.5648051492374307,1.5725645904371142,-0.18910497119951702
ENSSSCG00000000743,0.9175190303278689,1.1135254619176462,0.9513365856380409,2.9823810778835558,0.14231969711627318
ENSSSCG00000000745,0.14639401939348357,0.565106177845453,0.6063449122713813,1.3178451095103179,-0.1834574805460745
ENSSSCG00000000751,0.5092086515787139,0.26895736777997586,0.6667621282191598,1.4449281475778495,-0.07896022776641654
ENSSSCG00000000753,0.1759505963679347,0.6072122541529337,0.7140801168287246,1.4972429673495928,-0.25061228369206956
ENSSSCG00000000754,0.2221437240221613,0.5008849566425433,0.3359214824356487,1.0589501631003533,-0.1728416112997781
ENSSSCG00000000755,0.3274192194182526,0.502334434295966,0.32141774433514203,1.1511713980493608,-0.2478057362927633
ENSSSCG00000000757,0.9634525315132844,0.5081356328653974,1.3581914765056762,2.8297796408843583,-0.14023478961287522
ENSSSCG00000000766,0.6521640142269483,0.5780411127716971,0.501605085249233,1.7318102122478782,-0.3605783015074105
ENSSSCG00000000767,0.449132880928179,1.4711014259163526,1.6743949634904867,3.5946292703350182,0.04605333307228949
ENSSSCG00000000769,0.9989165439984163,0.3602150991598385,1.2754811480962527,2.6346127912545074,0.13622850586725538
ENSSSCG00000000770,0.16803854514148733,0.6785783964989843,0.7205266728475666,1.5671436144880382,-0.23177449750921084
ENSSSCG00000000778,0.1619787839561391,0.4361487420382942,0.4098427655339437,1.007970291528377,-0.031032673348877327
ENSSSCG00000000779,0.4301934552078888,0.4784600797776181,0.7121249175644607,1.6207784525499678,0.07096260451307664
ENSSSCG00000000782,0.7610641568718709,0.70424721884359,0.4204916276612249,1.8858030033766857,-0.40821274137408803
ENSSSCG00000000783,0.14703149294427703,0.4679526095103606,0.5021338032683056,1.1171179057229432,-0.21823551702090108
ENSSSCG00000000791,0.32309638137966856,0.6263431275530832,0.44862510538571143,1.3980646143184632,-0.1357574146133976
ENSSSCG00000000793,0.918091357704783,1.0989211693310696,1.6819177980164932,3.6989303250523458,-0.24970411677316237
ENSSSCG00000000798,0.6404730808499639,1.795851108321114,1.2922434908581344,3.7285676800292125,-0.17769705416448434
ENSSSCG00000000799,0.4473298031228922,0.6493683469687476,0.7474451587883716,1.8441433088800112,-0.06952705543677101
ENSSSCG00000000800,0.9601083089232487,0.36786492071577526,0.9568763395002787,2.2848495691393027,-0.01640390900043464
ENSSSCG00000000801,0.5945592029581458,0.6033231831557352,0.9614122253526511,2.159294611466532,-0.337553103475655
ENSSSCG00000000804,0.21414752305558427,0.6189197058723189,0.6549087954347728,1.487976024362676,-0.04380415478478399
ENSSSCG00000000806,0.5799436953965613,0.865917750512657,0.5995913762454337,2.045452822154652,-0.09664124297347305
ENSSSCG00000000807,0.4896951123769904,0.44059696745167615,0.8808014221208009,1.8110935019494674,-0.12531434911481906
ENSSSCG00000000808,0.3433085617346817,0.4509845976684016,0.33806384265866385,1.132357002061747,0.05842284958154805
ENSSSCG00000000816,0.21904603898240418,0.5968952818737555,0.5761541046005154,1.392095425456675,-0.1440682186099757
ENSSSCG00000000837,0.5718042908508884,1.0183746314491717,1.0830160708498193,2.6731949931498793,-0.2876143793176946
ENSSSCG00000000838,0.8136827130606613,0.6283697413266961,0.4961189407052941,1.9381713950926516,-0.3533863013777216
ENSSSCG00000000839,0.4184062823718457,0.5187555593927824,0.6065115550842803,1.5436733968489085,-0.14309294408154502
ENSSSCG00000000840,0.7101464698572604,0.7496051941722528,0.6785956419422566,2.1383473059717697,-0.23391603494826738
ENSSSCG00000000841,0.5773435769139774,0.6886200652170654,0.3019814609023131,1.5679451030333558,-0.33158594194772495
ENSSSCG00000000842,0.5734054117507468,0.5626042417782697,0.6738629333400934,1.80987258686911,-0.023357396475688044
ENSSSCG00000000843,0.6212846789417991,0.831087955888265,1.0304516163768662,2.4828242512069303,0.017431240445116247
ENSSSCG00000000844,0.35293706430590316,0.590791850578435,0.42593656421329057,1.3696654790976288,-0.05914633344050095
ENSSSCG00000000846,0.4542657892715957,0.9579664230025041,1.02872711758679,2.44095932986089,-0.31485366275559373
ENSSSCG00000000847,0.20370849377932565,0.7358436861523932,0.6598114293956124,1.5993636093273311,0.10728492740779652
ENSSSCG00000000848,0.6573882322309084,0.4831910480623499,0.5309195014595,1.6714987817527582,-0.08742768272776745
ENSSSCG00000000849,0.5999597064750233,0.6952894301508977,1.1964415208075894,2.4916906574335105,0.06833510346497229
ENSSSCG00000000853,0.15732244520859895,0.5488384411766063,0.6105502850574627,1.3167111714426678,-0.2249195162205661
ENSSSCG00000000856,0.6161798948078508,0.4503995364932789,0.4643555651792267,1.5309349964803567,-0.295090420885256
ENSSSCG00000000858,0.723041472707084,0.8503559961664305,0.9066110402536478,2.4800085091271624,-0.05695223227687705
ENSSSCG00000000859,0.7284088851168743,0.38163338709646544,0.6377347809272614,1.7477770531406014,-0.1261493969458942
ENSSSCG00000000860,1.0960487189609074,0.5272301667417293,0.9707156570829536,2.59399454278559,-0.12680562899656328
ENSSSCG00000000862,0.6224517393791615,0.6061598676044031,0.8344412796554128,2.0630528866389772,-0.1537576024865957
ENSSSCG00000000863,0.8564013843568061,1.439018258100559,0.7192302035965643,3.0146498460539295,-0.17051990045804352
ENSSSCG00000000864,0.2488233166125868,1.3820250734442177,1.218010981194141,2.8488593712509456,-0.19094272969882875
ENSSSCG00000000869,0.7718473817538127,0.7304813782636395,1.0985521403897602,2.6008809004072124,-0.12977692212744935
ENSSSCG00000000870,0.2572235379320503,0.8818255344210647,0.8399794122233941,1.9790284845765092,0.005837103559453023
ENSSSCG00000000873,0.25864046259391865,1.368287358354368,1.49962462271085,3.1265524436591368,-0.3504796718650211
ENSSSCG00000000875,0.28746110494956584,0.5776941674489776,0.677125020377248,1.5422802927757915,-0.2586594881744672
ENSSSCG00000000877,0.489258010728476,0.7245882726948081,0.4372898824624693,1.6511361658857535,-0.22290712176128263
ENSSSCG00000000884,0.4248670768518889,0.5361134573428648,0.7699640821421462,1.7309446163368998,-0.2683156083216755
ENSSSCG00000000886,0.4161911708639768,1.7043197251633027,1.7282072069551833,3.8487181029824624,0.20784596827477692
ENSSSCG00000000890,0.4855174630000508,0.31685129019720054,0.5177590674982039,1.3201278206954552,-0.16778260733847397
ENSSSCG00000000894,0.23937652206146667,2.2908894375308826,2.252058898154686,4.782324857747035,-0.00011275576944692687
ENSSSCG00000000895,0.4868033724664339,2.211618299005137,2.217408994588133,4.915830666059704,-0.0006221573805520246
ENSSSCG00000000900,0.23308056852665393,0.5533510202602326,0.5568568710174047,1.3432884598042913,-0.03861966295375831
ENSSSCG00000000901,0.6468138889354484,0.2819205478966386,0.6258107404454051,1.5545451772774923,-0.1947012431036421
ENSSSCG00000000902,0.5737829430230218,0.6740518160492585,0.3692247383143947,1.617059497386675,-0.2401014805462123
