,condition,stage,ref_stage,cell,displacement
91,in_vivo,E3,E3,E3_75,10.723169430171879
92,in_vivo,E3,E3,E3_76,9.608922522237771
93,in_vivo,E3,E3,E3_77,11.602076522084536
94,in_vivo,E3,E3,E3_78,8.900457974978739
95,in_vivo,E3,E3,E3_79,8.595934274462696
96,in_vivo,E3,E3,E3_80,9.103213916550935
97,in_vivo,E3,E3,E3_81,9.102038544897482
98,in_vivo,E3,E3,E3_82,9.562626897295624
99,in_vivo,E3,E3,E3_83,9.432171495362033
100,in_vivo,E3,E3,E3_84,9.48650465404612
101,in_vivo,E3,E3,E3_85,8.615491866720463
102,in_vivo,E3,E3,E3_86,10.162841151800203
103,in_vivo,E3,E3,E3_87,9.010093006892467
104,in_vivo,E3,E3,E3_88,8.750966722733766
105,in_vivo,E3,E3,E3_89,8.368574703098016
106,in_vivo,E3,E3,E3_90,8.789083864867225
107,in_vivo,E3,E3,E3_91,8.761745907968969
108,in_vivo,E3,E3,E3_92,8.544623883938701
109,in_vivo,E3,E3,E3_93,8.602966931686916
110,in_vivo,E3,E3,E3_94,11.21364624018763
111,in_vivo,E3,E3,E3_95,8.339376063228498
112,in_vivo,E4,E4,E4_0,5.079631830612677
113,in_vivo,E4,E4,E4_1,6.677023308464659
114,in_vivo,E4,E4,E4_2,6.6671144820904535
115,in_vivo,E4,E4,E4_3,5.262818927485808
116,in_vivo,E4,E4,E4_4,5.409332053211236
117,in_vivo,E4,E4,E4_5,5.717483448613461
118,in_vivo,E4,E4,E4_6,5.915812158929552
119,in_vivo,E4,E4,E4_7,5.488737049243893
120,in_vivo,E4,E4,E4_8,5.3498767737404105
121,in_vivo,E4,E4,E4_9,5.746247256922497
122,in_vivo,E4,E4,E4_10,5.727490007999054
123,in_vivo,E4,E4,E4_11,5.092986307397829
124,in_vivo,E4,E4,E4_12,6.111015474030574
125,in_vivo,E4,E4,E4_13,12.039418396543061
126,in_vivo,E4,E4,E4_14,5.5887276456089126
127,in_vivo,E4,E4,E4_15,5.311319532700254
128,in_vivo,E4,E4,E4_16,6.022103450315906
129,in_vivo,E4,E4,E4_17,10.750845942712992
130,in_vivo,E4,E4,E4_18,6.015160994838633
131,in_vivo,E4,E4,E4_19,7.2321355988035725
132,in_vivo,E4,E4,E4_20,5.813761170256962
133,in_vivo,E4,E4,E4_21,5.710544370236244
134,in_vivo,E4,E4,E4_22,5.298896722731468
135,in_vivo,E4,E4,E4_23,5.93201152362557
136,in_vivo,E4,E4,E4_24,5.838342853041727
137,in_vivo,E4,E4,E4_25,5.6952765640849625
138,in_vivo,E4,E4,E4_26,5.169677748497614
