,F1,F2,F3,F4,F5,F6,F7
ACTC1,0.04290303572723447,0.1065338349941519,-0.13185683531332654,-0.053220387644100614,0.06576341552070249,0.12528066624435583,-0.024087886601484226
ACTR10,0.42863508179356324,0.05034462273790694,0.12451679774614687,0.05571244679150984,0.46816394829313374,0.16002911543636608,-0.6027838546047364
ACTR1A,0.45513483223410967,0.000934987272461873,-0.22417898253539273,0.08607085973124926,0.7836166885555067,-0.06946407232643226,-0.7464307540202496
ACTR2,0.5254582373353153,-0.004524095591253578,0.2380224967187703,0.33440948999756487,-0.6684199653061806,-0.3716515345177084,-1.3659510684067104
ACTR3,0.5958190719664419,-0.07090561107813739,0.1788330793451702,0.29937041818541676,-0.3870315643854457,-0.4754236980746402,-1.1457400705737941
ACTR6,0.3048101371455047,0.03964723611152295,-0.1317224377280973,0.15440831752767686,0.6343594539629634,0.49122689555612453,-0.5406244255850928
ACTR8,0.45539768117886903,-0.14997978321641225,0.4220819396431973,1.097069661678208,0.16738152169175502,0.9351188827644736,0.3931180372835742
ACYP2,0.5244551743606863,-0.08983636803262414,0.03947361821144874,-0.5065901482171705,0.10531145893061188,-0.47704763203472494,1.0404191136788123
ADAD1,0.2836116255720459,-0.270491311800152,-0.17755119266059743,-0.17485570854889473,0.2850363002515877,0.8667467127274071,1.3910747248419386
ADAM10,0.5049520113034407,0.04704458616363837,0.5574233343188894,-0.49856499575323826,0.4058039842518783,0.5868983972299533,0.4810101522614939
ADAM9,0.10770392331096133,0.11435718081537193,-0.040356609743691214,0.6142827315403795,-0.30811077535826203,0.3660680938175236,-0.053356168233079836
ADAMTS1,0.08955805589016524,0.06063740412254271,0.3002821325776161,0.3457155156644763,0.4301114572543694,0.0831337211731787,-0.44016477504564194
ADCY3,0.4954879828809444,-0.0476312808390095,-0.04430623686990351,-0.5493110820881071,-0.06238801371352644,0.3768286048130367,0.5147993292407747
ADD3,0.3120307357740875,0.044102140909975225,-0.11817188724889903,-0.6507064780474375,0.10416396927467927,-0.04495946123017113,-0.7138563368826165
ADGRA3,0.6309608134633934,-0.08158945542803775,0.1329131191280545,0.00419283783406031,-0.017225363342364946,-0.3192995570286449,-0.8703382690582236
ADGRL2,0.16992098431650351,-0.026981558171678563,0.037273880430863146,0.1972074184354803,0.5201541025653091,0.22943318498538634,-0.7437027954663425
ADH5,0.6738610389001911,-0.02593315491048719,0.4204159652286279,-0.37266470118099004,0.1031976471529869,0.7537300509840976,0.8395121347431415
ADIPOR2,0.5735568468591072,0.04919431532098808,-0.03275508976785995,-0.36563654862791456,0.3179280985943653,0.7250040813292191,0.9115074861298819
ADK,0.17486175052880612,0.20584646420339534,0.29909638468989597,0.7724330460772122,0.12814043449397722,0.07689746388242288,-0.7899032618542012
ADM,0.20691716098842872,0.12930027760551596,0.12555629259963083,-4.431563456680286e-06,0.4062089155408688,0.27050553663803906,-0.6304484082796034
ADNP,0.3192127901895731,0.19144837723596314,-0.2135056794764293,-0.30380662014360094,0.400317086644282,0.8843708832994541,-0.3289300889353142
ADPGK,0.5965188205310881,0.043294504179229025,0.05624728046471062,-0.5363294527489504,0.18670484366964613,-0.4223776551534997,-0.6091522493426222
ADSL,0.23811381247164762,-0.006737274665379631,-0.02290746259798421,0.5955736813984632,-0.3014416938162948,0.34245418920659804,-0.49976358586365177
AEBP2,0.38324915836249973,0.06802460243457745,-0.2204521255601287,0.3099397675600428,0.20979092787456974,-0.06393177919637096,-0.9364797151465163
AEN,0.22116547440327525,0.19199129044877228,0.11039240659416297,-0.2117144402576106,0.2012987043536115,-0.01865793938864524,-0.5830724723491294
AFAP1L2,0.11498024104866579,0.17445148458501664,-0.1271242255345035,0.04303066621842857,0.11337581015161427,0.41916201542831,-0.21046108406394856
AFF4,0.3313647509993248,0.036264902637140266,0.04263903254778593,0.13219157424370775,-0.6998607530624598,0.026046910094014414,-1.0860253417066625
