gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000001535,32,7,0,0.21875,0.0
ENSSSCG00000001536,32,7,0,0.21875,0.0
ENSSSCG00000001537,30,3,2,0.1,0.06666666666666667
ENSSSCG00000001538,2,0,0,0.0,0.0
ENSSSCG00000001539,10,5,0,0.5,0.0
ENSSSCG00000001543,114,100,87,0.8771929824561403,0.7631578947368421
ENSSSCG00000001544,38,11,6,0.2894736842105263,0.15789473684210525
ENSSSCG00000001546,15,0,0,0.0,0.0
ENSSSCG00000001549,6,3,0,0.5,0.0
ENSSSCG00000001550,14,2,0,0.14285714285714285,0.0
ENSSSCG00000001551,6,0,0,0.0,0.0
ENSSSCG00000001552,11,5,0,0.45454545454545453,0.0
ENSSSCG00000001553,46,24,6,0.5217391304347826,0.13043478260869565
ENSSSCG00000001554,20,2,1,0.1,0.05
ENSSSCG00000001555,10,0,0,0.0,0.0
ENSSSCG00000001556,19,7,0,0.3684210526315789,0.0
ENSSSCG00000001559,11,5,0,0.45454545454545453,0.0
ENSSSCG00000001561,55,33,14,0.6,0.2545454545454545
ENSSSCG00000001562,21,11,7,0.5238095238095238,0.3333333333333333
ENSSSCG00000001563,29,4,1,0.13793103448275862,0.034482758620689655
ENSSSCG00000001564,4,0,0,0.0,0.0
ENSSSCG00000001565,42,38,13,0.9047619047619048,0.30952380952380953
ENSSSCG00000001566,19,11,4,0.5789473684210527,0.21052631578947367
ENSSSCG00000001567,21,3,0,0.14285714285714285,0.0
ENSSSCG00000001570,11,4,3,0.36363636363636365,0.2727272727272727
ENSSSCG00000001571,29,3,3,0.10344827586206896,0.10344827586206896
ENSSSCG00000001572,7,6,5,0.8571428571428571,0.7142857142857143
ENSSSCG00000001573,60,11,8,0.18333333333333332,0.13333333333333333
ENSSSCG00000001574,6,3,1,0.5,0.16666666666666666
ENSSSCG00000001576,7,7,3,1.0,0.42857142857142855
ENSSSCG00000001577,2,0,0,0.0,0.0
ENSSSCG00000001578,15,4,0,0.26666666666666666,0.0
ENSSSCG00000001582,46,1,0,0.021739130434782608,0.0
ENSSSCG00000001589,22,3,3,0.13636363636363635,0.13636363636363635
ENSSSCG00000001592,17,9,6,0.5294117647058824,0.35294117647058826
ENSSSCG00000001594,3,2,2,0.6666666666666666,0.6666666666666666
ENSSSCG00000001595,14,5,2,0.35714285714285715,0.14285714285714285
ENSSSCG00000001596,12,4,0,0.3333333333333333,0.0
ENSSSCG00000001597,45,7,5,0.15555555555555556,0.1111111111111111
ENSSSCG00000001611,35,6,2,0.17142857142857143,0.05714285714285714
ENSSSCG00000001612,9,3,2,0.3333333333333333,0.2222222222222222
ENSSSCG00000001613,12,0,0,0.0,0.0
ENSSSCG00000001616,6,0,0,0.0,0.0
ENSSSCG00000001619,18,13,12,0.7222222222222222,0.6666666666666666
ENSSSCG00000001620,29,19,7,0.6551724137931034,0.2413793103448276
ENSSSCG00000001621,33,12,8,0.36363636363636365,0.24242424242424243
ENSSSCG00000001624,13,4,3,0.3076923076923077,0.23076923076923078
ENSSSCG00000001625,7,4,4,0.5714285714285714,0.5714285714285714
ENSSSCG00000001629,20,13,3,0.65,0.15
ENSSSCG00000001636,3,0,0,0.0,0.0
ENSSSCG00000001637,12,6,3,0.5,0.25
ENSSSCG00000001638,6,0,0,0.0,0.0
ENSSSCG00000001639,32,10,3,0.3125,0.09375
ENSSSCG00000001641,6,2,0,0.3333333333333333,0.0
ENSSSCG00000001646,18,0,0,0.0,0.0
ENSSSCG00000001650,3,0,0,0.0,0.0
ENSSSCG00000001651,15,7,2,0.4666666666666667,0.13333333333333333
ENSSSCG00000001653,24,7,2,0.2916666666666667,0.08333333333333333
ENSSSCG00000001654,23,0,0,0.0,0.0
ENSSSCG00000001655,48,24,18,0.5,0.375
ENSSSCG00000001656,34,24,8,0.7058823529411765,0.23529411764705882
ENSSSCG00000001657,18,3,3,0.16666666666666666,0.16666666666666666
ENSSSCG00000001658,17,5,4,0.29411764705882354,0.23529411764705882
ENSSSCG00000001659,14,2,1,0.14285714285714285,0.07142857142857142
ENSSSCG00000001660,46,18,7,0.391304347826087,0.15217391304347827
ENSSSCG00000001661,29,6,3,0.20689655172413793,0.10344827586206896
ENSSSCG00000001664,38,13,5,0.34210526315789475,0.13157894736842105
ENSSSCG00000001667,60,8,3,0.13333333333333333,0.05
ENSSSCG00000001672,2,0,0,0.0,0.0
ENSSSCG00000001676,70,38,9,0.5428571428571428,0.12857142857142856
ENSSSCG00000001679,11,5,5,0.45454545454545453,0.45454545454545453
ENSSSCG00000001680,3,3,0,1.0,0.0
ENSSSCG00000001682,27,9,0,0.3333333333333333,0.0
ENSSSCG00000001683,10,6,5,0.6,0.5
ENSSSCG00000001688,11,4,3,0.36363636363636365,0.2727272727272727
