gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000012397,798.2220976165653,9.305165615632058,1.3670236870253323,6.806879576373883,9.973834921361719e-12,1.5541372057821851e-09,ENSSSCG00000012397,IL2RG,True
ENSSSCG00000009821,1481.0847416326706,-8.322642645643873,1.2219074691104193,-6.811188945185002,9.679539962026256e-12,1.5541372057821851e-09,ENSSSCG00000009821,ARPC3,True
ENSSSCG00000029163,979.1824561831395,-13.900147065757123,2.0417386567101152,-6.807995244677712,9.896813493527885e-12,1.5541372057821851e-09,ENSSSCG00000029163,BCAT1,True
ENSSSCG00000005530,212.98977450479748,-10.573839913407342,1.5687004071430857,-6.7405094467109885,1.5783224140494697e-11,2.4162177868413463e-09,ENSSSCG00000005530,LHX6,True
ENSSSCG00000010210,20309.05450575288,8.934128629780938,1.3333781760989305,6.700371124956875,2.078908745482005e-11,3.127682364323444e-09,ENSSSCG00000010210,SLC16A9,True
ENSSSCG00000001852,69.06903179651934,-8.02689578141607,1.201279120156696,-6.681957295960522,2.357717393398101e-11,3.4870240635240393e-09,ENSSSCG00000001852,IDH2,True
ENSSSCG00000020898,585.5679418403406,-5.387046181920159,0.8070993482467457,-6.674576300454695,2.479474538217342e-11,3.6059824700807544e-09,ENSSSCG00000020898,ELP2,True
ENSSSCG00000023862,77.32452011620582,-11.911946805149137,1.785484435764582,-6.671548945789713,2.5311750715414747e-11,3.620825192503427e-09,ENSSSCG00000023862,MTMR8,True
ENSSSCG00000047847,7800.204198466334,6.856670546841817,1.0289157019725341,6.663976974689857,2.6651523817644257e-11,3.750987045689739e-09,ENSSSCG00000047847,ENSSSCG00000047847,True
ENSSSCG00000004739,1175.1426404791393,-5.268044472603824,0.791639748130557,-6.654598237448556,2.840749619499668e-11,3.934663679326048e-09,ENSSSCG00000004739,MGA,True
ENSSSCG00000013534,211.9789160548164,-6.995394365398254,1.0527371929234999,-6.644957936720863,3.033036807158345e-11,4.135356121759956e-09,ENSSSCG00000013534,MLLT1,True
ENSSSCG00000036938,2740.5938495766495,23.44396510058361,3.5357564842273828,6.630537257066355,3.3446723668229095e-11,4.4900940112148785e-09,ENSSSCG00000036938,CTDSP1,True
ENSSSCG00000036483,3002.896665895002,6.0431555169635764,0.9137985912044134,6.613224812481403,3.760367062587183e-11,4.971661058808449e-09,ENSSSCG00000036483,PSMD9,True
ENSSSCG00000058280,288.43993136743245,18.69041856652283,2.830180568269702,6.6039668196682095,4.002991567230828e-11,5.213448420247194e-09,ENSSSCG00000058280,ENSSSCG00000058280,True
ENSSSCG00000038727,2910.463548028918,-7.1532119240057614,1.0869537931316406,-6.580971490422352,4.673842082171139e-11,5.952395811234941e-09,ENSSSCG00000038727,GDNF,True
ENSSSCG00000006472,2272.4361565759136,-7.904578263542816,1.2013170516622262,-6.579926800011279,4.706799346495656e-11,5.952395811234941e-09,ENSSSCG00000006472,CRABP2,True
ENSSSCG00000015793,1011.1656148314343,-12.402849408616108,1.9016693886023934,-6.522085007495134,6.933669671476131e-11,8.643314507614389e-09,ENSSSCG00000015793,UFSP2,True
ENSSSCG00000015801,256.9259200191154,-11.145989493475414,1.7099181011110205,-6.5184347052840135,7.104485061491662e-11,8.731512203743133e-09,ENSSSCG00000015801,TLR3,True
ENSSSCG00000000488,3205.048047738846,-5.601897829747784,0.8611112521868965,-6.505428671987603,7.747213740606108e-11,9.389192652851235e-09,ENSSSCG00000000488,MDM2,True
ENSSSCG00000011033,65.95691685083841,-8.09452722512327,1.2487214247662282,-6.482252217814424,9.03634122836326e-11,1.080152240530107e-08,ENSSSCG00000011033,VIM,True
ENSSSCG00000034450,507.44337320492366,-11.350677653627514,1.7559759621064384,-6.464027924397915,1.0195204576301843e-10,1.202207501794728e-08,ENSSSCG00000034450,ABHD10,True
ENSSSCG00000001878,46.050232096935396,-6.713970665716368,1.0413149049397779,-6.447589133572093,1.1364333913595054e-10,1.3222023697337392e-08,ENSSSCG00000001878,PTPN9,True
ENSSSCG00000014211,172.85111957671916,-6.925102180821571,1.0801223752045561,-6.411405170187386,1.4418443471903577e-10,1.6554649702082974e-08,ENSSSCG00000014211,YTHDC2,True
ENSSSCG00000004708,125.80571582544647,-7.43411514921892,1.1617703685289509,-6.398954002099481,1.564449590890326e-10,1.7501778371934598e-08,ENSSSCG00000004708,TUBGCP4,True
ENSSSCG00000017783,321.22605652083405,21.791253373761958,3.404711930971724,6.400322205098454,1.5504940452736987e-10,1.7501778371934598e-08,ENSSSCG00000017783,MYO18A,True
ENSSSCG00000022656,829.8832070721137,-6.463311191967018,1.013416953658343,-6.377741332069739,1.7971871715635722e-10,1.9850956024131306e-08,ENSSSCG00000022656,SRFBP1,True
ENSSSCG00000062141,57.249261769110554,7.696434918797312,1.2091274946041948,6.36527988416699,1.949339435810056e-10,2.1069125119829286e-08,ENSSSCG00000062141,ENSSSCG00000062141,True
ENSSSCG00000035938,61.256583595462835,8.18053388093541,1.285450033214718,6.363945442886738,1.9663600978120164e-10,2.1069125119829286e-08,ENSSSCG00000035938,DBX2,True
ENSSSCG00000033998,1109.974610817717,-7.030833220398253,1.1049745986616348,-6.36289126366717,1.9799086177240446e-10,2.1069125119829286e-08,ENSSSCG00000033998,SLC43A3,True
ENSSSCG00000011061,249.04900807664777,-20.89746903979036,3.297894115251074,-6.336610063722256,2.348754158917014e-10,2.4693046735795018e-08,ENSSSCG00000011061,PDSS1,True
ENSSSCG00000012595,125.14469337396307,6.5808720684196595,1.0420338685985904,6.315410915837254,2.6944456414495924e-10,2.799015793724898e-08,ENSSSCG00000012595,LRCH2,True
ENSSSCG00000021646,762.2767835776592,-11.28948097658291,1.7951073979478798,-6.289028160370099,3.1945952289287496e-10,3.2795338785449727e-08,ENSSSCG00000021646,KLF9,True
ENSSSCG00000024648,226.55145606548177,-5.068878816965129,0.8066584923279358,-6.283797747342684,3.3040049581431537e-10,3.3524124726461814e-08,ENSSSCG00000024648,PRPF4,True
ENSSSCG00000007520,69.5753191620985,-6.358443934369914,1.0122960941380414,-6.281209589951108,3.35948871628762e-10,3.369528567623652e-08,ENSSSCG00000007520,ENSSSCG00000007520,True
ENSSSCG00000035379,61.9779616414048,-7.020616263501582,1.1192644374293244,-6.272526874548265,3.552351140336641e-10,3.5224790966565375e-08,ENSSSCG00000035379,JCHAIN,True
ENSSSCG00000004177,2127.0527374735952,-5.154905858332586,0.8225777707337434,-6.26677019698014,3.6861351443965945e-10,3.6140691314612e-08,ENSSSCG00000004177,RPS12,True
ENSSSCG00000011712,66.45899846109216,-10.219043413387135,1.6359593115706874,-6.246514409686519,4.197133153054065e-10,4.069353765949974e-08,ENSSSCG00000011712,P2RY14,True
ENSSSCG00000038880,561.1224303399867,-6.2103552140875955,0.9958236647510882,-6.236400513377948,4.477538457293527e-10,4.293516547070694e-08,ENSSSCG00000038880,RPL23,True
ENSSSCG00000017601,2428.053360683147,5.639368243245174,0.9053378927934203,6.229020444339188,4.693605447907379e-10,4.426649054744093e-08,ENSSSCG00000017601,TOM1L1,True
ENSSSCG00000038518,79.36523465855896,-10.850745188405837,1.7421922077543086,-6.2282135921113335,4.717835916699526e-10,4.426649054744093e-08,ENSSSCG00000038518,ENSSSCG00000038518,True
ENSSSCG00000011201,1710.7354557676003,4.158565837744936,0.6688997212793151,6.217024324350746,5.066712447350168e-10,4.703418384635911e-08,ENSSSCG00000011201,SATB1,True
ENSSSCG00000024517,98.03183469711114,-7.934699017511196,1.277334804885211,-6.211917961653176,5.234175376002855e-10,4.807727824315886e-08,ENSSSCG00000024517,AKAP6,True
ENSSSCG00000017769,4348.181083906152,8.196391573949816,1.3295755912057978,6.164667603830236,7.063135021704167e-10,6.420095437436516e-08,ENSSSCG00000017769,RAB34,True
ENSSSCG00000042891,8669.252805767512,5.165260207136005,0.8388333969764772,6.157671148709463,7.382244593003716e-10,6.64097590912891e-08,ENSSSCG00000042891,MSANTD5,True
ENSSSCG00000036783,70.4681573315343,5.517606899560759,0.8968636425887824,6.152113473609296,7.645713994214919e-10,6.807806154440754e-08,ENSSSCG00000036783,CCDC127,True
ENSSSCG00000020803,1307.3688912881419,-5.518221035017814,0.8981261858618483,-6.144148920145881,8.039339164444703e-10,7.08598722716611e-08,ENSSSCG00000020803,BRPF3,True
ENSSSCG00000026714,1740.2966115902077,4.9592490592166545,0.8078227521109026,6.139031175165291,8.302627404149601e-10,7.244872672860942e-08,ENSSSCG00000026714,TAF9B,True
ENSSSCG00000015326,158.5627555725418,-9.059305647455016,1.4775904683417513,-6.131134330896138,8.725469072793188e-10,7.538459715761718e-08,ENSSSCG00000015326,COL1A2,True
ENSSSCG00000033019,625.5584365701213,-6.407995934181985,1.0470440524431588,-6.120082454247891,9.352694872991552e-10,8.001138770757283e-08,ENSSSCG00000033019,ENSSSCG00000033019,True
