gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,coefficient
ENSSSCG00000000072,1842.9282634376843,-0.5917000069274558,1.8770260866962665,-0.3152327030088861,0.7525849769920141,0.9999642144719292,ENSSSCG00000000072,SLC25A17,condition[T.PA]
ENSSSCG00000000075,37.11235682253566,1.3526172425850747,3.0657964719516877,0.44119603338312857,,,ENSSSCG00000000075,ENSSSCG00000000075,condition[T.PA]
ENSSSCG00000000076,37.88806082891946,1.4182208311489202,3.276549355311772,0.43283975834204175,0.665131187209777,0.9999642144719292,ENSSSCG00000000076,SGSM3,condition[T.PA]
ENSSSCG00000000078,5570.244556726389,0.2647870750237695,1.8832642478228019,0.14060006466425712,,,ENSSSCG00000000078,TNRC6B,condition[T.PA]
ENSSSCG00000000081,0.24329795974041515,-5.791660723888736,8.019310727499043,-0.722214280091247,0.47016274503195177,0.9999642144719292,ENSSSCG00000000081,ENTHD1,condition[T.PA]
ENSSSCG00000000092,16.006614290512953,3.198970330312399,3.68526298208985,0.8680439756563362,,,ENSSSCG00000000092,NPTXR,condition[T.PA]
ENSSSCG00000000093,47.79995503605832,0.8297099376942367,1.8550998113275337,0.4472589197777372,0.6546881242247283,0.9999642144719292,ENSSSCG00000000093,DNAL4,condition[T.PA]
ENSSSCG00000000094,55.52118196142682,0.9788390576688561,2.2297776950524306,0.438985043146124,0.6606723739226623,0.9999642144719292,ENSSSCG00000000094,SUN2,condition[T.PA]
ENSSSCG00000000095,50.45699384795915,2.608621845673236,2.221540014311391,1.1742403147673346,,,ENSSSCG00000000095,GTPBP1,condition[T.PA]
ENSSSCG00000000097,4163.122555056961,-0.09361958611657469,1.5586448117269605,-0.06006473406397527,0.952104077368679,0.9999642144719292,ENSSSCG00000000097,TOMM22,condition[T.PA]
ENSSSCG00000000104,229174.40728389012,1.305248109741173,1.48685521439457,0.8778582454463494,0.38002065102792315,0.9999642144719292,ENSSSCG00000000104,ENSSSCG00000000104,condition[T.PA]
ENSSSCG00000000107,79557.08652751923,0.9192220565479214,1.7668145547246346,0.520270819645351,0.6028748311491735,0.9999642144719292,ENSSSCG00000000107,CSNK1E,condition[T.PA]
ENSSSCG00000000108,2.1525479724721484,-1.8532253056321413,5.463497902384003,-0.33920124776171034,,,ENSSSCG00000000108,TMEM184B,condition[T.PA]
ENSSSCG00000000110,40.55183289606235,4.833880165978203,3.952414319910681,1.2230195963077681,0.22132229486467825,0.9999642144719292,ENSSSCG00000000110,PLA2G6,condition[T.PA]
ENSSSCG00000000111,0.4493315444885385,2.3017953603186814,8.031213945589194,0.286606156418339,0.7744138999767987,0.9999642144719292,ENSSSCG00000000111,BAIAP2L2,condition[T.PA]
ENSSSCG00000000116,383.3917417369886,-1.2590968012171402,3.002272517522019,-0.41938124999270854,0.6749375249688188,0.9999642144719292,ENSSSCG00000000116,POLR2F,condition[T.PA]
ENSSSCG00000000119,3161.4296245496676,-0.17084600961269777,2.033396163077746,-0.08402003146996473,0.933040505270582,0.9999642144719292,ENSSSCG00000000119,EIF3L,condition[T.PA]
ENSSSCG00000000120,1.2971919144664756,-1.8498639787057913,7.769189507194459,-0.23810256874192245,0.8118015424592808,0.9999642144719292,ENSSSCG00000000120,ANKRD54,condition[T.PA]
ENSSSCG00000000139,14.269745396020127,-4.311145034824083,6.817580786047171,-0.6323570149175574,0.5271536154353721,0.9999642144719292,ENSSSCG00000000139,IFT27,condition[T.PA]
ENSSSCG00000000141,195.03064422531997,20.94647390319228,3.4795403177796733,6.019896880102375,1.7452822207926396e-09,8.992796285031548e-07,ENSSSCG00000000141,EIF3D,condition[T.PA]
ENSSSCG00000000144,23.97921105005236,-0.11105336401714674,4.165321923416866,-0.026661412025039414,0.9787297909261441,0.9999642144719292,ENSSSCG00000000144,ENSSSCG00000000144,condition[T.PA]
ENSSSCG00000000145,528.9511706073816,-2.3051336242405607,2.9632585625341736,-0.7779049906023774,0.4366250259681905,0.9999642144719292,ENSSSCG00000000145,MYH9,condition[T.PA]
ENSSSCG00000000146,101.34153660707055,0.4026104445441673,2.107174366027849,0.19106650642448367,0.8484734881865611,0.9999642144719292,ENSSSCG00000000146,MYH11,condition[T.PA]
ENSSSCG00000000148,34.01781961722007,2.1816678385575328,138.92958718922176,0.01570340690342732,0.987471009017107,0.9999642144719292,ENSSSCG00000000148,ENSSSCG00000000148,condition[T.PA]
ENSSSCG00000000152,34.39732734642347,-0.5439319883919728,3.0584334026062163,-0.17784660209650666,0.8588434475182043,0.9999642144719292,ENSSSCG00000000152,RBFOX2,condition[T.PA]
ENSSSCG00000000156,21.83106705321683,0.95004051216405,2.6107386785880253,0.3638972065476364,,,ENSSSCG00000000156,FBXO7,condition[T.PA]
ENSSSCG00000000158,1104.1421141467752,1.8936558527210727,2.3249472821517,0.8144941036979237,0.41536194869357224,0.9999642144719292,ENSSSCG00000000158,RTCB,condition[T.PA]
ENSSSCG00000000160,1353.6876592666472,0.08246735044857392,1.9363947376334278,0.042588088495510844,0.9660298908797856,0.9999642144719292,ENSSSCG00000000160,PRDM4,condition[T.PA]
ENSSSCG00000000161,329.3394149032828,0.1988838539028031,1.889657707269964,0.10524861361803751,,,ENSSSCG00000000161,PWP1,condition[T.PA]
ENSSSCG00000000162,77.43805477641402,0.22739225170539853,2.5010251469536495,0.09091961829427088,0.9275564616097471,0.9999642144719292,ENSSSCG00000000162,ABTB3,condition[T.PA]
ENSSSCG00000000164,3677.6284178114333,-0.8799557207183337,2.1755707917967384,-0.4044711962655119,0.6858662547536307,0.9999642144719292,ENSSSCG00000000164,CRY1,condition[T.PA]
ENSSSCG00000000167,13.379133167373455,-5.094771844058388,2.482753840125383,-2.0520648328958355,,,ENSSSCG00000000167,RIC8B,condition[T.PA]
ENSSSCG00000000171,2.108769374064964,-0.09560564028384201,7.885641608003883,-0.012124015398671277,0.9903266722822718,0.9999642144719292,ENSSSCG00000000171,CKAP4,condition[T.PA]
